new_time,sound_pressure_level [dba],indoor_relative_humidity [%],pm2.5 [mu_g/m3],indoor_co2 [ppm],wifi_connected_devices [number],temp_setpoint [Celsius],baromatic_pressure [hPa],outdoor_co2 [ppm],air_temperature [Celsius]
2021-09-07 15:10:00,57.07333374,56.0340004,2.099999905,466.4333191,6,23.4,1002.0,487.285675,24.99200058
2021-09-07 15:15:00,57.04999924,56.12233353,2.033333302,467.2000122,6,23.4,1001.799988,489.2849121,25.0296669
2021-09-07 15:20:00,56.97333145,56.29666519,2.099999905,470.7666626,9,23.5,1001.799988,488.8852234,25.03533363
2021-09-07 15:25:00,56.89310455,56.45930862,2.103448391,472.6896667,8,23.5,1001.799988,490.0844727,25.04655266
2021-09-07 15:30:00,57.13333511,56.61366653,2.166666746,474.4666748,8,23.5,1001.599976,489.8846436,25.05666733
2021-09-07 15:35:00,57.25666809,56.75466537,2.133333445,471.0,7,23.5,1001.599976,491.28479,25.07500076
2021-09-07 15:40:00,57.25999832,56.88466644,2.066666603,467.7333374,9,23.6,1001.599976,494.6825256,25.09233284
2021-09-07 15:45:00,57.07666779,57.027668,2.133333445,470.0666809,7,23.6,1001.599976,491.8839111,25.10533333
2021-09-07 15:50:00,56.80714417,57.23607254,2.035714388,470.5,10,23.5,1001.400024,492.0837402,25.10357094
2021-09-07 15:55:00,57.28333282,57.50833511,2.233333349,470.8999939,8,23.5,1001.400024,495.4820557,25.08233261
2021-09-07 16:00:00,57.40000153,57.61233521,2.099999905,472.6333313,27,23.7,1001.299988,492.7127991,25.11000061
2021-09-07 16:05:00,57.26333237,57.70899963,2.166666746,469.6666565,24,23.4,1001.299988,492.483551,25.12733269
2021-09-07 16:10:00,57.19666672,57.92466736,2.033333302,471.4666748,14,23.4,1001.200012,494.8824768,25.12800026
2021-09-07 16:15:00,57.12068939,57.97172546,2.068965435,471.6551819,10,23.5,1001.200012,493.4829712,25.15310287
2021-09-07 16:20:00,57.09999847,58.12733459,2.099999905,469.7666626,11,23.5,1001.099976,492.0836792,25.15866661
2021-09-07 16:25:00,57.09666824,58.3073349,2.099999905,468.0666809,11,23.5,1001.099976,491.4841003,25.15266609
2021-09-07 16:30:00,57.11999893,58.32633209,2.166666746,464.3999939,8,23.5,1001.099976,492.0838318,25.19599915
2021-09-07 16:35:00,57.04999924,58.54266739,2.200000048,467.2666626,11,23.5,1000.900024,491.4839783,25.18233299
2021-09-07 16:40:00,56.56785583,58.69749832,2.035714388,468.5,10,23.5,1000.900024,490.8842468,25.19071388
2021-09-07 16:45:00,56.90999985,58.79833221,2.066666603,467.7666626,4,23.5,1000.800049,493.08255,25.19599915
2021-09-07 16:50:00,56.93999863,58.87233353,2.0,467.9333191,8,23.4,1001.0,491.888916,25.22166634
2021-09-07 16:55:00,57.16333389,59.14300156,2.099999905,468.3666687,7,23.5,1001.0,491.6838989,25.19633293
2021-09-07 17:00:00,57.00333405,59.19499969,2.066666603,469.2000122,8,23.5,1001.0,488.511322,25.22433281
2021-09-07 17:05:00,56.74333191,59.29366684,2.133333445,467.9666748,7,23.5,1001.0,488.8847961,25.24300003
2021-09-07 17:10:00,56.75517273,59.37862015,2.137931108,466.0689697,11,23.5,1001.0,485.6864319,25.25137901
2021-09-07 17:15:00,56.81666565,59.48799896,2.133333445,465.4666748,13,23.4,1001.0,488.0853271,25.28199959
2021-09-07 17:20:00,57.01666641,59.50866699,2.099999905,463.5,7,23.4,1001.0,485.2867126,25.3136673
2021-09-07 17:25:00,57.16666794,59.74433517,1.966666698,464.8333435,7,23.4,1001.0,483.88797,25.29266739
2021-09-07 17:30:00,57.15000153,59.97700119,2.066666603,463.3666687,2,23.4,1001.0,487.6854553,25.27633286
2021-09-07 17:35:00,57.18928528,60.17607117,2.071428537,463.6428528,4,23.4,1001.0,484.0872192,25.28107071
2021-09-07 17:40:00,57.51333237,60.30366516,2.0,463.2333374,3,23.4,1001.0,483.2874146,25.2753334
2021-09-07 17:45:00,57.46333313,60.39433289,2.033333302,460.9333191,4,23.4,1001.0,481.688324,25.30066681
2021-09-07 17:50:00,57.54333496,60.50999832,2.099999905,461.5333252,5,23.5,1001.0,480.888855,25.31599998
2021-09-07 17:55:00,57.77999878,60.66533279,2.133333445,462.3333435,6,23.5,1001.099976,480.6884766,25.31166649
2021-09-07 18:00:00,57.77241516,60.73689651,2.103448391,460.379303,2,23.6,1001.200012,479.5019836,25.33655167
2021-09-07 18:05:00,57.59999847,60.88000107,1.966666698,458.6666565,1,23.8,1001.200012,477.8895569,25.35366631
